Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,4601,951,151,50202.42969,0.003008
2,1000,0.8,0.2,50,1000,4595,961,154,50513.14844,0.003049
3,1000,0.8,0.2,50,1000,4568,933,133,49554.77344,0.002684
4,1000,0.8,0.2,50,1000,4464,965,142,48607.09766,0.002921
5,1000,0.8,0.2,50,1000,4582,941,147,50079.60156,0.002935
6,1000,0.8,0.2,50,1000,4493,928,153,49843.30078,0.00307
7,1000,0.8,0.2,50,1000,4420,883,141,48291.56641,0.00292
8,1000,0.8,0.2,50,1000,4522,942,151,49718.80469,0.003037
9,1000,0.8,0.2,50,1000,4604,874,142,49593.59766,0.002863
10,1000,0.8,0.2,50,1000,4610,886,148,50968.97656,0.002904
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,4601,951,151,50202.42969,0.003008
2,1000,0.8,0.2,50,1000,4595,961,154,50513.14844,0.003049
3,1000,0.8,0.2,50,1000,4568,933,133,49554.77344,0.002684
4,1000,0.8,0.2,50,1000,4464,965,142,48607.09766,0.002921
5,1000,0.8,0.2,50,1000,4582,941,147,50079.60156,0.002935
6,1000,0.8,0.2,50,1000,4493,928,153,49843.30078,0.00307
7,1000,0.8,0.2,50,1000,4420,883,141,48291.56641,0.00292
8,1000,0.8,0.2,50,1000,4522,942,151,49718.80469,0.003037
9,1000,0.8,0.2,50,1000,4604,874,142,49593.59766,0.002863
10,1000,0.8,0.2,50,1000,4610,886,148,50968.97656,0.002904
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,4601,951,151,50202.42969,0.003008
2,1000,0.8,0.2,50,1000,4595,961,154,50513.14844,0.003049
3,1000,0.8,0.2,50,1000,4568,933,133,49554.77344,0.002684
4,1000,0.8,0.2,50,1000,4464,965,142,48607.09766,0.002921
5,1000,0.8,0.2,50,1000,4582,941,147,50079.60156,0.002935
6,1000,0.8,0.2,50,1000,4493,928,153,49843.30078,0.00307
7,1000,0.8,0.2,50,1000,4420,883,141,48291.56641,0.00292
8,1000,0.8,0.2,50,1000,4522,942,151,49718.80469,0.003037
9,1000,0.8,0.2,50,1000,4604,874,142,49593.59766,0.002863
10,1000,0.8,0.2,50,1000,4610,886,148,50968.97656,0.002904
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,4601,951,151,50202.42969,0.003008
2,1000,0.8,0.2,50,1000,4595,961,154,50513.14844,0.003049
3,1000,0.8,0.2,50,1000,4568,933,133,49554.77344,0.002684
4,1000,0.8,0.2,50,1000,4464,965,142,48607.09766,0.002921
5,1000,0.8,0.2,50,1000,4582,941,147,50079.60156,0.002935
6,1000,0.8,0.2,50,1000,4493,928,153,49843.30078,0.00307
7,1000,0.8,0.2,50,1000,4420,883,141,48291.56641,0.00292
8,1000,0.8,0.2,50,1000,4522,942,151,49718.80469,0.003037
9,1000,0.8,0.2,50,1000,4604,874,142,49593.59766,0.002863
10,1000,0.8,0.2,50,1000,4610,886,148,50968.97656,0.002904
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,4601,951,151,50202.42969,0.003008
2,1000,0.8,0.2,50,1000,4595,961,154,50513.14844,0.003049
3,1000,0.8,0.2,50,1000,4568,933,133,49554.77344,0.002684
4,1000,0.8,0.2,50,1000,4464,965,142,48607.09766,0.002921
5,1000,0.8,0.2,50,1000,4582,941,147,50079.60156,0.002935
6,1000,0.8,0.2,50,1000,4493,928,153,49843.30078,0.00307
7,1000,0.8,0.2,50,1000,4420,883,141,48291.56641,0.00292
8,1000,0.8,0.2,50,1000,4522,942,151,49718.80469,0.003037
9,1000,0.8,0.2,50,1000,4604,874,142,49593.59766,0.002863
10,1000,0.8,0.2,50,1000,4610,886,148,50968.97656,0.002904